item_number ,id               ,title                                                                                                                                                                    ,authors                                                                                                                                                                                                                                                                                                              ,abstract_link                    ,pdf_link                         ,html_link                           ,other_formats_link                  ,comments                                                                                                                                                                                                                                                                                                     ,subjects                                                                                                                                                                                ,date
         46 ,arXiv:2409.10151 ,AutoPET Challenge III: Testing the Robustness of Generalized Dice Focal Loss trained 3D Residual UNet for FDG and PSMA Lesion Segmentation from Whole-Body PET/CT Images ,Shadab Ahamed                                                                                                                                                                                                                                                                                                        ,https://arxiv.org/abs/2409.10151 ,https://arxiv.org/pdf/2409.10151 ,https://arxiv.org/html/2409.10151v1 ,https://arxiv.org/format/2409.10151 ,"11 pages, 5 figures, 2 tables"                                                                                                                                                                                                                                                                              ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Medical Physics (physics.med-ph)                                                                      ,"Tue, 17 Sep 2024"
         47 ,arXiv:2409.10146 ,LLMs4OL 2024 Overview: The 1st Large Language Models for Ontology Learning Challenge                                                                                     ,"Hamed Babaei Giglou, Jennifer D'Souza, Sören Auer"                                                                                                                                                                                                                                                                  ,https://arxiv.org/abs/2409.10146 ,https://arxiv.org/pdf/2409.10146 ,https://arxiv.org/html/2409.10146v1 ,https://arxiv.org/format/2409.10146 ,"15 pages, 1 figure, Will appear in ""The 1st LLMs4OL Challenge @ ISWC 2024"" proceedings"                                                                                                                                                                                                                   ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         48 ,arXiv:2409.10139 ,Towards Explainable Automated Data Quality Enhancement without Domain Knowledge                                                                                          ,Djibril Sarr                                                                                                                                                                                                                                                                                                         ,https://arxiv.org/abs/2409.10139 ,https://arxiv.org/pdf/2409.10139 ,https://arxiv.org/html/2409.10139v1 ,https://arxiv.org/format/2409.10139 ,                                                                                                                                                                                                                                                                                                             ,Databases (cs.DB); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)                                                                                                          ,"Tue, 17 Sep 2024"
         49 ,arXiv:2409.10134 ,Advancing Towards a Marine Digital Twin Platform: Modeling the Mar Menor Coastal Lagoon Ecosystem in the South Western Mediterranean                                     ,"Yu Ye, Aurora González-Vidal, Alejandro Cisterna-García, Angel Pérez-Ruzafa, Miguel A. Zamora Izquierdo, Antonio F. Skarmeta"                                                                                                                                                                                       ,https://arxiv.org/abs/2409.10134 ,https://arxiv.org/pdf/2409.10134 ,https://arxiv.org/html/2409.10134v1 ,https://arxiv.org/format/2409.10134 ,                                                                                                                                                                                                                                                                                                             ,Computers and Society (cs.CY); Artificial Intelligence (cs.AI)                                                                                                                          ,"Tue, 17 Sep 2024"
         50 ,arXiv:2409.10132 ,StruEdit: Structured Outputs Enable the Fast and Accurate Knowledge Editing for Large Language Models                                                                    ,"Baolong Bi, Shenghua Liu, Yiwei Wang, Lingrui Mei, Hongcheng Gao, Junfeng Fang, Xueqi Cheng"                                                                                                                                                                                                                        ,https://arxiv.org/abs/2409.10132 ,https://arxiv.org/pdf/2409.10132 ,https://arxiv.org/html/2409.10132v1 ,https://arxiv.org/format/2409.10132 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         51 ,arXiv:2409.10106 ,Industry 6.0: New Generation of Industry driven by Generative AI and Swarm of Heterogeneous Robots                                                                       ,"Artem Lykov, Miguel Altamirano Cabrera, Mikhail Konenkov, Valerii Serpiva, Koffivi Fid`ele Gbagbe, Ali Alabbas, Aleksey Fedoseev, Luis Moreno, Muhammad Haris Khan, Ziang Guo, Dzmitry Tsetserukou"                                                                                                                 ,https://arxiv.org/abs/2409.10106 ,https://arxiv.org/pdf/2409.10106 ,https://arxiv.org/html/2409.10106v1 ,https://arxiv.org/format/2409.10106 ,submitted to IEEE conf                                                                                                                                                                                                                                                                                       ,Robotics (cs.RO); Artificial Intelligence (cs.AI)                                                                                                                                       ,"Tue, 17 Sep 2024"
         52 ,arXiv:2409.10102 ,Trustworthiness in Retrieval-Augmented Generation Systems: A Survey                                                                                                      ,"Yujia Zhou, Yan Liu, Xiaoxi Li, Jiajie Jin, Hongjin Qian, Zheng Liu, Chaozhuo Li, Zhicheng Dou, Tsung-Yi Ho, Philip S. Yu"                                                                                                                                                                                          ,https://arxiv.org/abs/2409.10102 ,https://arxiv.org/pdf/2409.10102 ,https://arxiv.org/html/2409.10102v1 ,https://arxiv.org/format/2409.10102 ,                                                                                                                                                                                                                                                                                                             ,Information Retrieval (cs.IR); Artificial Intelligence (cs.AI); Computation and Language (cs.CL)                                                                                        ,"Tue, 17 Sep 2024"
         53 ,arXiv:2409.10085 ,A Riemannian Approach to Ground Metric Learning for Optimal Transport                                                                                                    ,"Pratik Jawanpuria, Dai Shi, Bamdev Mishra, Junbin Gao"                                                                                                                                                                                                                                                              ,https://arxiv.org/abs/2409.10085 ,https://arxiv.org/pdf/2409.10085 ,https://arxiv.org/html/2409.10085v1 ,https://arxiv.org/format/2409.10085 ,                                                                                                                                                                                                                                                                                                             ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI)                                                                                                                               ,"Tue, 17 Sep 2024"
         54 ,arXiv:2409.10080 ,DAE-Fuse: An Adaptive Discriminative Autoencoder for Multi-Modality Image Fusion                                                                                         ,"Yuchen Guo, Ruoxiang Xu, Rongcheng Li, Zhenghao Wu, Weifeng Su"                                                                                                                                                                                                                                                     ,https://arxiv.org/abs/2409.10080 ,https://arxiv.org/pdf/2409.10080 ,https://arxiv.org/html/2409.10080v1 ,https://arxiv.org/format/2409.10080 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
         55 ,arXiv:2409.10077 ,LLM-DER:A Named Entity Recognition Method Based on Large Language Models for Chinese Coal Chemical Domain                                                                ,"Le Xiao, Yunfei Xu, Jing Zhao"                                                                                                                                                                                                                                                                                      ,https://arxiv.org/abs/2409.10077 ,https://arxiv.org/pdf/2409.10077 ,                                    ,https://arxiv.org/format/2409.10077 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         56 ,arXiv:2409.10070 ,Increasing faithfulness in human-human dialog summarization with Spoken Language Understanding tasks                                                                     ,"Eunice Akani, Benoit Favre, Frederic Bechet, Romain Gemignani"                                                                                                                                                                                                                                                      ,https://arxiv.org/abs/2409.10070 ,https://arxiv.org/pdf/2409.10070 ,https://arxiv.org/html/2409.10070v1 ,https://arxiv.org/format/2409.10070 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         57 ,arXiv:2409.10069 ,Enhancing Anomaly Detection via Generating Diversified and Hard-to-distinguish Synthetic Anomalies                                                                       ,"Hyuntae Kim, Changhee Lee"                                                                                                                                                                                                                                                                                          ,https://arxiv.org/abs/2409.10069 ,https://arxiv.org/pdf/2409.10069 ,https://arxiv.org/html/2409.10069v1 ,https://arxiv.org/format/2409.10069 ,Accepted at CIKM 2024                                                                                                                                                                                                                                                                                        ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI)                                                                                                                               ,"Tue, 17 Sep 2024"
         58 ,arXiv:2409.10064 ,MindGuard: Towards Accessible and Sitgma-free Mental Health First Aid via Edge LLM                                                                                       ,"Sijie Ji, Xinzhe Zheng, Jiawei Sun, Renqi Chen, Wei Gao, Mani Srivastava"                                                                                                                                                                                                                                           ,https://arxiv.org/abs/2409.10064 ,https://arxiv.org/pdf/2409.10064 ,https://arxiv.org/html/2409.10064v1 ,https://arxiv.org/format/2409.10064 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Human-Computer Interaction (cs.HC)                                                                                   ,"Tue, 17 Sep 2024"
         59 ,arXiv:2409.10063 ,GlobalMapNet: An Online Framework for Vectorized Global HD Map Construction                                                                                              ,"Anqi Shi, Yuze Cai, Xiangyu Chen, Jian Pu, Zeyu Fu, Hong Lu"                                                                                                                                                                                                                                                        ,https://arxiv.org/abs/2409.10063 ,https://arxiv.org/pdf/2409.10063 ,https://arxiv.org/html/2409.10063v1 ,https://arxiv.org/format/2409.10063 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Robotics (cs.RO)                                                                                      ,"Tue, 17 Sep 2024"
         60 ,arXiv:2409.10048 ,Audio-Driven Reinforcement Learning for Head-Orientation in Naturalistic Environments                                                                                    ,"Wessel Ledder, Yuzhen Qin, Kiki van der Heijden"                                                                                                                                                                                                                                                                    ,https://arxiv.org/abs/2409.10048 ,https://arxiv.org/pdf/2409.10048 ,https://arxiv.org/html/2409.10048v1 ,https://arxiv.org/format/2409.10048 ,submitted to ICASSP 2025                                                                                                                                                                                                                                                                                     ,Sound (cs.SD); Artificial Intelligence (cs.AI); Audio and Speech Processing (eess.AS)                                                                                                   ,"Tue, 17 Sep 2024"
         61 ,arXiv:2409.10038 ,On the Diagram of Thought                                                                                                                                                ,"Yifan Zhang, Yang Yuan, Andrew Chi-Chih Yao"                                                                                                                                                                                                                                                                        ,https://arxiv.org/abs/2409.10038 ,https://arxiv.org/pdf/2409.10038 ,https://arxiv.org/html/2409.10038v1 ,https://arxiv.org/format/2409.10038 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)                                                                                             ,"Tue, 17 Sep 2024"
         62 ,arXiv:2409.10033 ,Can GPT-O1 Kill All Bugs?                                                                                                                                                ,"Haichuan Hu, Ye Shang, Guolin Xu, Congqing He, Quanjun Zhang"                                                                                                                                                                                                                                                       ,https://arxiv.org/abs/2409.10033 ,https://arxiv.org/pdf/2409.10033 ,https://arxiv.org/html/2409.10033v1 ,https://arxiv.org/format/2409.10033 ,                                                                                                                                                                                                                                                                                                             ,Software Engineering (cs.SE); Artificial Intelligence (cs.AI)                                                                                                                           ,"Tue, 17 Sep 2024"
         63 ,arXiv:2409.10028 ,AttnMod: Attention-Based New Art Styles                                                                                                                                  ,Shih-Chieh Su                                                                                                                                                                                                                                                                                                        ,https://arxiv.org/abs/2409.10028 ,https://arxiv.org/pdf/2409.10028 ,https://arxiv.org/html/2409.10028v1 ,https://arxiv.org/format/2409.10028 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
         64 ,arXiv:2409.10027 ,E2Map: Experience-and-Emotion Map for Self-Reflective Robot Navigation with Language Models                                                                              ,"Chan Kim, Keonwoo Kim, Mintaek Oh, Hanbi Baek, Jiyang Lee, Donghwi Jung, Soojin Woo, Younkyung Woo, John Tucker, Roya Firoozi, Seung-Woo Seo, Mac Schwager, Seong-Woo Kim"                                                                                                                                          ,https://arxiv.org/abs/2409.10027 ,https://arxiv.org/pdf/2409.10027 ,https://arxiv.org/html/2409.10027v1 ,https://arxiv.org/format/2409.10027 ,"19 pages, 28 figures. Project page: this https URL"                                                                                                                                                                                                                                                         ,Robotics (cs.RO); Artificial Intelligence (cs.AI)                                                                                                                                       ,"Tue, 17 Sep 2024"
         65 ,arXiv:2409.10016 ,AceParse: A Comprehensive Dataset with Diverse Structured Texts for Academic Literature Parsing                                                                          ,"Huawei Ji, Cheng Deng, Bo Xue, Zhouyang Jin, Jiaxin Ding, Xiaoying Gan, Luoyi Fu, Xinbing Wang, Chenghu Zhou"                                                                                                                                                                                                       ,https://arxiv.org/abs/2409.10016 ,https://arxiv.org/pdf/2409.10016 ,https://arxiv.org/html/2409.10016v1 ,https://arxiv.org/format/2409.10016 ,"5 pages, 3 figures, 3 tables"                                                                                                                                                                                                                                                                               ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         66 ,arXiv:2409.10011 ,HALO: Hallucination Analysis and Learning Optimization to Empower LLMs with Retrieval-Augmented Context for Guided Clinical Decision Making                              ,"Sumera Anjum, Hanzhi Zhang, Wenjun Zhou, Eun Jin Paek, Xiaopeng Zhao, Yunhe Feng"                                                                                                                                                                                                                                   ,https://arxiv.org/abs/2409.10011 ,https://arxiv.org/pdf/2409.10011 ,https://arxiv.org/html/2409.10011v1 ,https://arxiv.org/format/2409.10011 ,"10 pages, 4 figures"                                                                                                                                                                                                                                                                                        ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         67 ,arXiv:2409.10007 ,SelECT-SQL: Self-correcting ensemble Chain-of-Thought for Text-to-SQL                                                                                                    ,"Ke Shen, Mayank Kejriwal"                                                                                                                                                                                                                                                                                           ,https://arxiv.org/abs/2409.10007 ,https://arxiv.org/pdf/2409.10007 ,https://arxiv.org/html/2409.10007v1 ,https://arxiv.org/format/2409.10007 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         68 ,arXiv:2409.09996 ,FreeMark: A Non-Invasive White-Box Watermarking for Deep Neural Networks                                                                                                 ,"Yuzhang Chen, Jiangnan Zhu, Yujie Gu, Minoru Kuribayashi, Kouichi Sakurai"                                                                                                                                                                                                                                          ,https://arxiv.org/abs/2409.09996 ,https://arxiv.org/pdf/2409.09996 ,https://arxiv.org/html/2409.09996v1 ,https://arxiv.org/format/2409.09996 ,                                                                                                                                                                                                                                                                                                             ,Cryptography and Security (cs.CR); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)                                                                                            ,"Tue, 17 Sep 2024"
         69 ,arXiv:2409.09989 ,Comprehensive Study on Sentiment Analysis: From Rule-based to modern LLM based system                                                                                    ,"Shailja Gupta, Rajesh Ranjan, Surya Narayan Singh"                                                                                                                                                                                                                                                                  ,https://arxiv.org/abs/2409.09989 ,https://arxiv.org/pdf/2409.09989 ,                                    ,https://arxiv.org/format/2409.09989 ,2 Images                                                                                                                                                                                                                                                                                                     ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Computers and Society (cs.CY); Human-Computer Interaction (cs.HC)                                                    ,"Tue, 17 Sep 2024"
         70 ,arXiv:2409.09968 ,Artificial Intelligence-Based Opportunistic Coronary Calcium Screening in the Veterans Affairs National Healthcare System                                                ,"Raffi Hagopian, Timothy Strebel, Simon Bernatz, Gregory A Myers, Erik Offerman, Eric Zuniga, Cy Y Kim, Angie T Ng, James A Iwaz, Sunny P Singh, Evan P Carey, Michael J Kim, R Spencer Schaefer, Jeannie Yu, Amilcare Gentili, Hugo JWL Aerts"                                                                      ,https://arxiv.org/abs/2409.09968 ,https://arxiv.org/pdf/2409.09968 ,                                    ,https://arxiv.org/format/2409.09968 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
         71 ,arXiv:2409.09958 ,An Offline Adaptation Framework for Constrained Multi-Objective Reinforcement Learning                                                                                   ,"Qian Lin, Zongkai Liu, Danying Mo, Chao Yu"                                                                                                                                                                                                                                                                         ,https://arxiv.org/abs/2409.09958 ,https://arxiv.org/pdf/2409.09958 ,https://arxiv.org/html/2409.09958v1 ,https://arxiv.org/format/2409.09958 ,                                                                                                                                                                                                                                                                                                             ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI)                                                                                                                               ,"Tue, 17 Sep 2024"
         72 ,arXiv:2409.09957 ,Deep Graph Anomaly Detection: A Survey and New Perspectives                                                                                                              ,"Hezhe Qiao, Hanghang Tong, Bo An, Irwin King, Charu Aggarwal, Guansong Pang"                                                                                                                                                                                                                                        ,https://arxiv.org/abs/2409.09957 ,https://arxiv.org/pdf/2409.09957 ,https://arxiv.org/html/2409.09957v1 ,https://arxiv.org/format/2409.09957 ,"24 pages, 6 figures, and 7 tables"                                                                                                                                                                                                                                                                          ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI)                                                                                                                               ,"Tue, 17 Sep 2024"
         73 ,arXiv:2409.09944 ,Fault Analysis And Predictive Maintenance Of Induction Motor Using Machine Learning                                                                                      ,"Kavana Venkatesh, Neethi M"                                                                                                                                                                                                                                                                                         ,https://arxiv.org/abs/2409.09944 ,https://arxiv.org/pdf/2409.09944 ,                                    ,https://arxiv.org/format/2409.09944 ,"Presented at ICEECCOT-2018, Published in IEEE Xplore, 6 pages, 3 figures"                                                                                                                                                                                                                                   ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI)                                                                                                                               ,"Tue, 17 Sep 2024"
         74 ,arXiv:2409.09927 ,"Towards Data Contamination Detection for Modern Large Language Models: Limitations, Inconsistencies, and Oracle Challenges"                                             ,"Vinay Samuel, Yue Zhou, Henry Peng Zou"                                                                                                                                                                                                                                                                             ,https://arxiv.org/abs/2409.09927 ,https://arxiv.org/pdf/2409.09927 ,https://arxiv.org/html/2409.09927v1 ,https://arxiv.org/format/2409.09927 ,"12 pages, 1 figure"                                                                                                                                                                                                                                                                                         ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         75 ,arXiv:2409.09916 ,SFR-RAG: Towards Contextually Faithful LLMs                                                                                                                              ,"Xuan-Phi Nguyen, Shrey Pandit, Senthil Purushwalkam, Austin Xu, Hailin Chen, Yifei Ming, Zixuan Ke, Silvio Savarese, Caiming Xong, Shafiq Joty"                                                                                                                                                                     ,https://arxiv.org/abs/2409.09916 ,https://arxiv.org/pdf/2409.09916 ,https://arxiv.org/html/2409.09916v1 ,https://arxiv.org/format/2409.09916 ,Technical report                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         76 ,arXiv:2409.09877 ,REG: Refined Generalized Focal Loss for Road Asset Detection on Thai Highways Using Vision-Based Detection and Segmentation Models                                       ,Teerapong Panboonyuen                                                                                                                                                                                                                                                                                                ,https://arxiv.org/abs/2409.09877 ,https://arxiv.org/pdf/2409.09877 ,https://arxiv.org/html/2409.09877v1 ,https://arxiv.org/format/2409.09877 ,14 pages                                                                                                                                                                                                                                                                                                     ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
         77 ,arXiv:2409.09869 ,"Critic as Lyapunov function (CALF): a model-free, stability-ensuring agent"                                                                                             ,"Pavel Osinenko, Grigory Yaremenko, Roman Zashchitin, Anton Bolychev, Sinan Ibrahim, Dmitrii Dobriborsci"                                                                                                                                                                                                            ,https://arxiv.org/abs/2409.09869 ,https://arxiv.org/pdf/2409.09869 ,https://arxiv.org/html/2409.09869v1 ,https://arxiv.org/format/2409.09869 ,IEEE Conference on Decision and Control. Accepted for publication in proceedings of the conference                                                                                                                                                                                                           ,Robotics (cs.RO); Artificial Intelligence (cs.AI); Optimization and Control (math.OC)                                                                                                   ,"Tue, 17 Sep 2024"
         78 ,arXiv:2409.09867 ,Towards Kinetic Manipulation of the Latent Space                                                                                                                         ,Diego Porres                                                                                                                                                                                                                                                                                                         ,https://arxiv.org/abs/2409.09867 ,https://arxiv.org/pdf/2409.09867 ,https://arxiv.org/html/2409.09867v1 ,https://arxiv.org/format/2409.09867 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
         79 ,arXiv:2409.09866 ,Constructing a Singing Style Caption Dataset                                                                                                                             ,"Hyunjong Ok, Jaeho Lee"                                                                                                                                                                                                                                                                                             ,https://arxiv.org/abs/2409.09866 ,https://arxiv.org/pdf/2409.09866 ,https://arxiv.org/html/2409.09866v1 ,https://arxiv.org/format/2409.09866 ,Preprint                                                                                                                                                                                                                                                                                                     ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Sound (cs.SD); Audio and Speech Processing (eess.AS)                                       ,"Tue, 17 Sep 2024"
         80 ,arXiv:2409.09858 ,A Survey of Out-of-distribution Generalization for Graph Machine Learning from a Causal View                                                                             ,Jing Ma                                                                                                                                                                                                                                                                                                              ,https://arxiv.org/abs/2409.09858 ,https://arxiv.org/pdf/2409.09858 ,https://arxiv.org/html/2409.09858v1 ,https://arxiv.org/format/2409.09858 ,"15 pages, 2 figures, 1 table"                                                                                                                                                                                                                                                                               ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI)                                                                                                                               ,"Tue, 17 Sep 2024"
         81 ,arXiv:2409.09828 ,Latent Diffusion Models for Controllable RNA Sequence Generation                                                                                                         ,"Kaixuan Huang, Yukang Yang, Kaidi Fu, Yanyi Chu, Le Cong, Mengdi Wang"                                                                                                                                                                                                                                              ,https://arxiv.org/abs/2409.09828 ,https://arxiv.org/pdf/2409.09828 ,https://arxiv.org/html/2409.09828v1 ,https://arxiv.org/format/2409.09828 ,                                                                                                                                                                                                                                                                                                             ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Quantitative Methods (q-bio.QM)                                                                                              ,"Tue, 17 Sep 2024"
         82 ,arXiv:2409.09827 ,On the Effect of Robot Errors on Human Teaching Dynamics                                                                                                                 ,"Jindan Huang, Isaac Sheidlower, Reuben M. Aronson, Elaine Schaertl Short"                                                                                                                                                                                                                                           ,https://arxiv.org/abs/2409.09827 ,https://arxiv.org/pdf/2409.09827 ,https://arxiv.org/html/2409.09827v1 ,https://arxiv.org/format/2409.09827 ,Accepted to 2024 International Conference on Human-Agent Interaction (HAI)                                                                                                                                                                                                                                   ,Robotics (cs.RO); Artificial Intelligence (cs.AI); Human-Computer Interaction (cs.HC)                                                                                                   ,"Tue, 17 Sep 2024"
         83 ,arXiv:2409.09825 ,GP-GPT: Large Language Model for Gene-Phenotype Mapping                                                                                                                  ,"Yanjun Lyu, Zihao Wu, Lu Zhang, Jing Zhang, Yiwei Li, Wei Ruan, Zhengliang Liu, Xiaowei Yu, Chao Cao, Tong Chen, Minheng Chen, Yan Zhuang, Xiang Li, Rongjie Liu, Chao Huang, Wentao Li, Tianming Liu, Dajiang Zhu"                                                                                                 ,https://arxiv.org/abs/2409.09825 ,https://arxiv.org/pdf/2409.09825 ,https://arxiv.org/html/2409.09825v1 ,https://arxiv.org/format/2409.09825 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
         84 ,arXiv:2409.09822 ,Causal Inference with Large Language Model: A Survey                                                                                                                     ,Jing Ma                                                                                                                                                                                                                                                                                                              ,https://arxiv.org/abs/2409.09822 ,https://arxiv.org/pdf/2409.09822 ,https://arxiv.org/html/2409.09822v1 ,https://arxiv.org/format/2409.09822 ,"15 pages, 2 figures, 3 tables"                                                                                                                                                                                                                                                                              ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
